,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"왼쪽 끝 좌표: (0, 0), 중간 좌표: (96, 24), 끝 좌표(192, 48)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"정렬 텍스트: LEFT, CENTER, RIGHT, L, C, R 각각 왼쪽정렬, 가운데정렬, 오른쪽정렬",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"좌표 0~192, 0~48 범위를 벗어나더라도 렌더링이 가능합니다. 왼쪽 번호를 비우면 텍스트 다 적혀있어도 추가 안되게 가능합니다. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a붙이면 입체(a생략), b붙이면 벽면, c붙이면 한자들어간 교수님, d는 오른쪽에 표시되는 표지판(을 형식적으로 의미함, 결국 좌표 적는 사용자에게 달림)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,부족하면 더 적어도 작동합니다,,,,,
,영어는 소문자만 가능,,,,,,일반적으로 호실을 적습니다,,,,,,일반적으로 한글 이름을 적습니다,,,,,,일반적으로 영문 이름을 적습니다,,,,,,일반적으로 한글 이름을 적습니다,,,,,,일반적으로 영문 이름을 적습니다,,,,,
,번호,전체배율,translatex,translatey,텍스쳐,좌표갯수,x1,y1,텍스트1,배율,색,정렬1,x2,y2,텍스트2,배율,색,정렬2,x3,y3,텍스트3,배율,색,정렬3,x4,y4,텍스트4,배율,색,정렬4,x5,y5,텍스트5,배율,색,정렬5
,08-203,0.5,0,0,default,3,184,30,08-203,1,#0000FF,RIGHT,10,10,실험준비실,1.75,#FFFFFF,LEFT,10,29,Lab Preparation Room,0.75,#808080,LEFT,,,,,,,,,,,,
,08-204,0.5,0,0,default,3,184,30,08-204,1,#0000FF,RIGHT,10,10,기계공학과사무실,1.75,#FFFFFF,LEFT,10,29,Dept. of Mechanical Engineering,0.75,#808080,LEFT,,,,,,,,,,,,
,08-204b,0.5,0,-0.5,default,3,148,15,08-204,1,#0000FF,LEFT,140,10,기계공학과사무실,1.75,#FFFFFF,RIGHT,140,29,Dept. of Mechanical Engineering,0.75,#FFFFFF,RIGHT,,,,,,,,,,,,
,,0.5,0,0,default,3,184,30,,1,#0000FF,RIGHT,10,10,,1.75,#FFFFFF,LEFT,10,29,,0.75,#808080,LEFT,,,,,,,,,,,,
,08-211,0.5,0,0,default,3,184,30,08-211,1,#0000FF,RIGHT,10,10,기초전기실험실,1.75,#FFFFFF,LEFT,10,29,Basic Electric Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,08-212,0.5,0,0,default,3,184,30,08-212,1,#0000FF,RIGHT,10,10,전기기계실험실,1.75,#FFFFFF,LEFT,10,29,Electric Machinary Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,08-213,0.5,0,0,default,3,184,30,08-213,1,#0000FF,RIGHT,10,10,디지털실험실,1.75,#FFFFFF,LEFT,10,29,Digital Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,08-216,0.5,0,0,default,3,184,30,08-216,1,#0000FF,RIGHT,10,10,전기공학과사무실,1.75,#FFFFFF,LEFT,10,29,Dept. of Electrial Engineering,0.75,#808080,LEFT,,,,,,,,,,,,
,,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
